ISBN;Наименование ;Автограф;Заказ;Серия;Авторы;Издательство;Год;Упак.;Стр.;Код;Код ЕАН;Цена;Номенклатура ставка НДС;Переплет;Формат книги;Вес;Тип издания;Категория;Аннотация;Печ ссылка
978-5-4335-0132-4;Таинственный остров;;;Страна приключений;"Верн Ж.; Пер. с фр. Н.И. Немчиновой, А.А. Худадовой";НИГМА;2023;4;480;NF0025100  ;9785433501324;1650;10;Переплет;84 х 108 (1/16);1,6;;12+;"Пятеро отважных северян бегут из взятого южанами города Ричмонда на воздушном шаре. После страшной бури они оказываются на берегу необитаемого острова. Жизнь на острове становится настоящим испытанием их смекалки и мужества. Им удаётся не только выжить, но и создать маленькую цивилизацию: они разводят скот, выращивают пшеницу из одного-единственного зёрнышка, на собственных небольших фабриках изготавливают предметы труда и обихода, и даже проводят настоящий телеграф. Но остров оказывается не таким уж необитаемым – некто таинственный не раз спасает героев романа от неминуемой гибели.
В книге представлена сокращённая версия романа. Издание проиллюстрировано известным художником Анатолием Иткиным, мастером историко-приключенческого жанра, создавшим иллюстрации более чем к двумстам произведениям русской и зарубежной литературы";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0025100,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0788-3;Тайна отца Брауна;;;вне серии;"Честертон Г.К.; Пер. с англ. В. Стенича и др.";НИГМА;2020;12;232;NF0015937  ;9785433507883;600;10;Переплет;70 х 100 (1/16);0,65;Сборник;12+;"В сборник «Тайна отца Брауна» вошли рассказы, в полной мере раскрывающие суть уникального метода, которым пользовался главный герой в своих расследованиях: «Зеркало судьи», «Человек о двух бородах», «Песня летучей рыбы», «Алиби актрисы», «Исчезновение мистера Водри» и другие.
В убийстве судьи обвиняют невиновного. Может ли быть основанием для защиты тот единственный факт, что прокурор — лыс? Да, утверждает отец Браун. Племянница вот-вот выйдет замуж за убийцу. Удастся ли расстроить этот брак, если из всех подозрений — пропавший доспех? Отцу Брауну и это по силам. А ещё у него есть тайна — он так успешно расследует преступления, потому что… сам их совершает! Отец Браун кажется немного странным, но мощь его ума и сила духа, мудрость души и зоркость сердца помогают ему распутывать самые сложные узлы, связывающие удивительным образом совершенно разных людей.
Книга проиллюстрирована атмосферными графическими работами Петра Любаева.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0015937,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0911-5;Тарантас. Повести и рассказы;;;Красный каптал;"Соллогуб В.А.; Эрлихман В.В. (предисловие); Кийко Е.И. (комментарии)";НИГМА;2021;12;320;NF0020149  ;9785433509115;600;10;Переплет;70 х 90 (1/16);0,65;Сборник;16+;"Владимир Александрович Соллогуб вошёл в историю русской литературы как талантливый прозаик, критически изображающий отдельные стороны жизни светского общества. Белинский называл имя Соллогуба в числе наследников традиции Пушкина и Гоголя, отметив, что «простота и верное чувство действительности составляют неотъемлемую принадлежность» его повестей.
В книге собраны наиболее известные произведения автора: «Тарантас», «Серёжа», «История двух калош». «Метель» и «Собачка». Соллогуб хорошо знал жизнь русского общества — аристократы и крестьяне, помещики и купцы, чиновники и актёры, студенты и музыканты, их быт и нравы обрисованы без единой ноты фальши. С точностью прирождённого документалиста Соллогуб описывает быт русской глубинки 30–40-х годов XIX века в «Тарантасе», рассказывает о бродячей жизни провинциальных актёров и их столкновении с чиновничеством в «Собачке». Главный герой повести «Серёжа» стоит перед выбором жизненного пути. «История двух калош» с большим сочувствием повествует о трагической судьбе сироты Генриетты и её возлюбленного — талантливого музыканта Шульца, а рассказ «Метель» рисует тонкую и поэтичную картину мимолётной встречи двух молодых людей, страдающих от одиночества. ";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0020149,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0631-2;Твердая Рука;;;Страна приключений;"Эмар Г. ; Пер. с фр. К. Полевого";НИГМА;2018;6;352;NF0011843 ;9785433506312;950;10;Переплет;84 х 108 (1/16);1,16;;12+;"Романы признанного мастера вестерна Гюстава Эмара полны самых невероятных приключений и роковых тайн. Головокружительные события описаны с необыкновенной точностью, а персонажи кажутся реальными людьми. Неудивительно — ведь Эмар долгое время провёл в путешествиях, участвовал в военных кампаниях и даже побывал в плену у индейцев.
Однажды юная сеньорита Марианна отправилась в путешествие по прерии вместе с братом. Поездка оказалась неспокойной — на молодых людей напали бандиты, и лишь помощь таинственного незнакомца по прозвищу Твёрдая Рука спасла Маргариту и Руиса от неминуемой гибели. Но вскоре спаситель покинул их, так и не открыв своё настоящее имя. Молодые люди даже не подозревали, что на самом деле связывает их семью и неизвестного охотника. Героям придётся пройти через множество испытаний, прежде чем тайны прошлого будут раскрыты, а коварство и подлость понесут заслуженное наказание.
События романа, происходящие на фоне вспыхнувшего в Мексике восстания индейцев, оживают в ярких и динамичных иллюстрациях известного художника Юрия Богачёва.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0011843,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-1094-4;Тетушка Сияние;;1;вне серии;Русинова Е.А.;НИГМА;2024;17;48;NF0026775  ;9785433510944;500;10;Переплет;60 х 90 (1/8);0,505;;6+;Вдали от Большого города, в лесной глуши, живёт тётушка Сияние. У неё есть огромный зимний сад, но что там растёт — не знает никто. Эта тайна не давала покоя малышке Рокси, и незадолго до Нового года она уговорила своего папу Лукаса навестить дальнюю родственницу. Попав наконец в оранжерею, малышка не поверила своим глазам: на грядках росли… новогодние гирлянды и фонарики! Тётушка Сияние научила Рокси ухаживать за волшебными растениями: оказывается, к поливу нужно добавить капельку своей любви. И сказала по секрету, что весь урожай отдаст Лукасу для его магазина сувениров — жаль только, не все гирлянды успеют созреть к Новому году. Рокси тоже очень хотелось помочь папе! Ночью она отправилась в оранжерею, налила в лейку воды и добавила туда всю свою любовь…;http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0026775,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0972-6;Тиль Уленшпигель ;;;Нигма. Избранное;"Костер Ш.; Пер. с фр.; Заболоцкий Н.А. (пересказ); Луков В.А. (комментарий)";НИГМА;2022;8;272;NF0022973  ;9785433509726;2000;10;Переплет;70 х 100 (1/16);0,74;;16+;"Знаменитый роман бельгийского писателя Шарля де Костера о приключениях хитроумного весельчака Тиля Уленшпигеля не только прославил своего автора, но и вошёл в золотой фонд мировой литературы. В романе отражены события, происходившие в XVI веке, когда гордая Фландрия находилась под властью Испании и страдала от жестокости католической инквизиции.
Юный Тиль Уленшпигель — шутник и проказник, но с добрым сердцем и благородной душой. Родился он в семье угольщика Клааса в один год с будущим испанским королём Филиппом II, бессердечным тираном. Родители Тиля мирно жили и честно трудились, но однажды страшная беда пришла в их дом — и юноша принял решение бороться за свою родину, спасти её от гнёта испанцев. Вместе со своим верным другом Ламме Гудзаком он отправляется странствовать по Фландрии и со временем становится умелым воином, но не теряет при этом благородства и остроумия. Насмешник Уленшпигель сражается с испанскими захватчиками, наказывает чванливых дворян, спасает пленников, участвует в морских битвах и даже становится капитаном корабля. 
Книга проиллюстрирована реалистичными графическими работами Юрия Богачёва";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0022973,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-1022-7;Три брата и медведь;;;Попали в переплет;Остромина А.;НИГМА;2023;10;72;NF0025797  ;9785433510227;450;10;Переплет;70 х 100 (1/16);0,375;Сборник;6+;Пушкин, Мушкин, Душкин (а на самом деле Паша, Миша и Даня) — обыкновенные дети и живут в обыкновенной городской семье. Но с ними постоянно случается что-то необыкновенное. Они сами придумывают себе игры и находят приключения, но никогда не знают, происходят события по-настоящему или все эти чудеса им кажутся.;http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0025797,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0165-2 ;Три мушкетёра. 2 тома (комплект);;;Страна приключений;"Дюма А.; Пер. с фр. В.С. Вальдман, Д.Г. Лившиц, К.А. Ксаниной";НИГМА;2023;3;704;NF0022149  ;9785433501652;2400;10;Переплет;84 х 108 (1/16);2,455;;12+;"Перед вами роман о славных подвигах гасконца д’Артаньяна и его верных друзей Атоса, Портоса и Арамиса. Бесстрашные мушкетёры оказываются в самой гуще событий, происходящих во Франции времени правления Людовика XIII: интриги коварного кардинала Ришелье, тайная любовь Анны Австрийской, происки неуловимой миледи Винтер и сражения с гугенотами. Опасные приключения ждут наших героев, чья храбрость и отвага помогут преодолеть любые трудности.
Вместе с талантливым художником Анатолием Зиновьевичем Иткиным мы пройдёмся по улочкам Парижа, встретимся с таинственным незнакомцем из Менга и заглянем в дом к супругам Бонасье.
В издании представлен первый том.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0022149,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0502-5;Три ржаных колоса;;;вне серии;"Топелиус С.; Любарская А.И. (пересказ)";НИГМА;2021;75;16;NF0021163  ;9785433505025;150;10;Обложка;60 х 90 (1/8);0,09;;0+;"С давних времён ночь перед Новым годом считается временем чудес. И они на самом деле сбываются, если в твоём сердце живёт доброта. Эта удивительная зимняя сказка расскажет о маленьком Юхане и его сестрёнке Нилле, которые оказались в тёмном заснеженном лесу и встретили в нём волка и медведя. Но ребята совсем не испугались их, а щедро поделились с ними хлебом и молоком. 
Чудесные рисунки Ольги Абовны Давыдовой приглашают юных читателей в путешествие по волшебному миру сказки.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0021163,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0667-1;Три, два, один — лови апельсин!;;;Слово за слово;Пер. с итал. Гойхман М.В;НИГМА;2019;12;48;NF0013724  ;9785433506671;600;10;Переплет;60 х 90 (1/6);0,53;Сборник;6+;"Народные стихи и песни легко запоминаются и делают нашу речь богаче и красивее. А какие итальянские народные стихи и песни вы знаете?  
Книга представляет собой сборник народных итальянских песен и стихов. Мария Гойхман не только перевела их для вас, но и подобрала забавные рифмы, передав колорит и атмосферу солнечной Италии. Эти стихи можно не только разучивать с детьми наизусть, но и весело распевать!
Иллюстрации к книге выполнены художницей Екатериной Михалиной.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0013724,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0970-2;Триамир;;;Попали в переплет;Губанова Е.А. ;НИГМА;2022;8;256;NF0022692  ;9785433509702;740;10;Переплет;70 х 100 (1/16);0,71;;12+;"Добро пожаловать в магическую вселенную, полную опасных иллюзий и неиллюзорных опасностей. Здесь друг может обернуться врагом, а тот, кто желал тебе бед, станет твоим союзником. Принцу Эриану предстоит преодолеть сотни преград и обойти десятки ловушек, чтобы предотвратить катастрофу, которая может уничтожить его мир.
«Триамир» – увлекательная триада, объединяющая подростковое фэнтези, детектив и роман взросления.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0022692,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-1062-3;Триамир. Игра со временем ;;;Попали в переплет;Губанова Е.А.;НИГМА;2024;11;160;NF0027327  ;9785433510623;740;10;Переплет;70 х 100 (1/16);0,525;;12+;Приключения Эриана из Триамира продолжаются. Юному принцу придётся сразиться не только с коварным и опасным врагом. Ему необходимо придумать, как обыграть само время. Это испытание похоже на хитроумную шахматную партию, но на кону много больше, чем просто победа.;http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0027327,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0986-3;Ту-ту! Догоняй!;;;вне серии;Тараненко М.В.;НИГМА;2024;20;32;NF0028177  ;9785433509863;550;10;Переплет;60 х 90 (1/8);0,42;;0+;Перед вами весёлая история о том, как папа с дочкой догоняют свой поезд. Они опоздали совсем чуть-чуть, но не унывают и пытаются его догнать на такси, на грузовике, на мотоцикле, на самокатах и даже на лошадях! И каждый раз их ждут новые приключения. А если в дороге что-то теряется — не беда, ведь находки гораздо интереснее потерь!;http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0028177,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-1041-8;Ты спишь?;;;вне серии;"Греве А.; Пер. с нем. А. Строкиной";НИГМА;2023;21;24;NF0024478  ;9785433510418;450;10;Переплет;60 х 90 (1/8);0,4;;0+;"Наступила ночь, и друзья — маленький летучий мыш Микка и серый волк Рокко — улеглись спать. Рокко быстро уснул, а у Микки сна — ни в одном глазу. Ему скучно, и он снова и снова спрашивает Рокко: «Ты спишь?» Не получив ответа, Микка щиплет своего друга за нос и толкает в бок. В конце концов Рокко с ворчанием просыпается и уходит по своей маленькой волчьей нужде. Но когда он возвращается, в спальне подозрительно тихо…
Неожиданная сказка на ночь для тех, кто не может уснуть…";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0024478,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0806-4;У всякой пташки свои замашки. 25 русских пословиц и поговорок;с автографом;;Слово за слово;Яснов М.Д.;НИГМА;2020;12;48;NF0016744  ;9785433508064;540;10;Переплет;60 х 90 (1/6);0,52;Сборник;0+;"С самого раннего детства мамы развлекают своих малышей прибаутками и потешками, пословицами и поговорками. В лаконичной игровой форме они передают народную мудрость, учат добру и помогают малышам постепенно изучить окружающий мир;
Известный детский поэт и переводчик Михаил Яснов отобрал 25 русских пословиц и поговорок и, взглянув на них с необычного ракурса, сочинил 25 стихотворений. Из них самые маленькие читатели узнают, что мешает свинье глядеть на небо, чем отличается букашка от козявки, как кнут и конь могут помочь друг другу… А симпатичные герои стихов оживут в добрых и красочных иллюстрациях художницы Ирины Дедковой.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0016744,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0889-7;Удачи капитана Блада;;;Страна приключений;"Сабатини Р.; Пер. с англ. В.В. Тирдатова ";НИГМА;2022;10;200;NF0022570  ;9785433508897;1000;10;Переплет;84 х 108 (1/16);0,77;;12+;"Перед вами заключительный роман трилогии об обаятельном корсаре-джентльмене капитане Бладе. Как и в предыдущих книгах, герой проявляет мужество, благородство и изобретательность.
Великодушный Питер Блад окажет помощь раненому дону Иларио, новому губернатору Эспаньолы, прибывшему в Новый Свет, чтобы оказать содействие маркизу Риконете в поимке… капитана Блада. Благодаря своей хитрости и находчивости он накажет жестокого пирата, выдававшего себя за него, заодно овладев двумя испанскими кораблями с ценностями. Вызволит из рабства брата своего друга и единомышленника Натаниэля Хагторпа и спасёт юную испанку от вероломства её возлюбленного. Рыцарь без страха и упрёка, прекрасный стратег и верный друг, капитан Блад не оставит злодеев безнаказанными и восстановит справедливость.
Книга проиллюстрирована работами Олега Пахомова. ";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0022570,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0751-7;Удивительная карта Магнолии;;;вне серии;"Брэдшоу Л.; Пер. с англ. Д.А. Налепиной";НИГМА;2019;24;24;NF0014537  ;9785433507517;300;10;Переплет;84 х 108 (1/16);0,32;;0+;"Тайное Общество Зверят, Живущих в Ореховой Роще, собирается раз в месяц на лесной полянке, чтобы поделиться друг с другом своими новыми открытиями.
Сегодня очередь Зайчонка Магнолии: она нарисовала большую карту Ореховой Рощи с окрестностями и впервые покажет её друзьям. Все очень ждут этого события, но сама она встревожена — на карте не хватает очень важного места…";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0014537,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0764-7;Удивительное путешествие Нильса Хольгерссона с дикими гусями по Швеции;;;Нигма. Избранное;"Лагерлёф С.; Пер. со швед. Л. Брауде; Эрлихман В.В. (послесловие)";НИГМА;2024;4;608;NF0027821  ;9785433507647;2700;10;Переплет;70 х 100 (1/16);1,43;;6+;"Начиная работу над этой удивительной книгой, Сельма Лагерлёф собиралась писать учебник по истории и географии Швеции. Получилось увлекательное повествование, прославившее свою создательницу не только в родной стране, но и во всём мире и принёсшее ей Нобелевскую премию по литературе. 
Нильс Хольгерссон — озорной и безответственный подросток, равнодушный к чужим страданиям, его недолюбливают люди и боятся животные. Но всё меняется в один несчастливый день, когда заклятие рассерженного домового делает мальчика крошечным! Чтобы обратить заклятие вспять, Нильсу приходится отправиться в дальнее путешествие на север вместе с перелётными гусями, навстречу невероятным и порой по-настоящему опасным приключениям. За время своих странствий Нильс научится дружить и сопереживать, помогать слабым и не пасовать перед сильными, найдёт общий язык с животными, птицами и даже статуями, — и вернётся домой совершенно другим человеком.
Книга проиллюстрирована рисунками Марии Сутягиной.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0027821,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0594-0;Удивительные приключения дядюшки Антифера;;;Страна приключений;"Верн Ж.; Пер. с фр. Э.П. Леонидовой";НИГМА;2021;6;384;NF0020310  ;9785433505940;900;10;Переплет;84 х 108 (1/16);1,26;;12+;"Роман Жюля Верна «Удивительные приключения дядюшки Антифера» повествует о незабываемых путешествиях в поисках сокровищ и, конечно, об отважных и сильных людях. 
Всё началось с того, что в 1831 году один из богатейших египтян Камильк-паша спрятал свои сокровища на необитаемом острове. Где именно — не знал никто. И вот тридцать один год спустя на поиски клада отправился отставной моряк дядюшка Антифер в компании лучшего друга, любимого племянника, коварного банкира и… двух подозрительных личностей, цель которых — завладеть всем богатством. Найдут ли герои сокровища Камильк-паши? И изменится ли их жизнь после стольких испытаний?..
Книга проиллюстрирована Дмитрием Поляковым.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0020310,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-1031-9;Успеть до Нового года;;;вне серии;Замятина О.;НИГМА;2023;20;24;NF0024055  ;9785433510319;450;10;Переплет;60 х 90 (1/8);0,39;;0+;"Новый год — весёлый праздник для всех. Даже для драконов! Маленький дракончик по имени Паша очень хочет успеть вылупиться из яйца до новогоднего торжества. Он с нетерпением ждёт встречи с родителями, братом и сестрой, а ещё хочет поскорее узнать, что такое зима и как выглядит ёлка. Будет ужасно обидно, если он опоздает!..
Книга проиллюстрирована красочными и забавными рисунками Катерины Азаркиной.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0024055,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0924-5;Фея Фиалка, колдунья Календула и охапка медведей;;;вне серии;Симбирская Ю.С.;НИГМА;2021;16;104;NF0020982  ;9785433509245;470;10;Переплет;70 х 100 (1/16);0,45;;6+;"Фея Фиалка и колдунья Календула живут на самом краю дальнего леса. Они очень разные и обожают спорить друг с другом, а когда спорить надоедает — вместе варят волшебные зелья и снадобья.
Однажды к Фиалке и Календуле пришёл ёж и принёс ужасную весть: в дальнем лесу пропали медведи! Да-да, оказывается, там живут целых восемь медведей, которые вдруг потерялись! Да не просто потерялись, а уменьшились в размерах до обычной сыроежки или даже жука и скоро вообще могут исчезнуть… А заколдовал их самый злой колдун в мире по имени Трухляй. И теперь нашим героиням предстоит не только сразиться с колдуном, но и отыскать медведей в самых разных уголках леса... Но все ли медведи захотят вернуться к прежней жизни? Об этом вы узнаете, прочитав эту замечательную книжку, красочные и весёлые иллюстрации к которой нарисовала Мария Коротаева.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0020982,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-1105-7;Флибустьеры;;;Страна приключений;"Эмар Г.; Пер. с франц.; Под ред. М. Секея";НИГМА;2024;5;304;NF0027682  ;9785433511057;1150;10;Переплет;84 х 108 (1/16);1,2;;16+;"Гюстав Эмар — французский писатель XIX века, признанный классик приключенческого жанра. Авантюрист по натуре, он обладал богатым опытом морских путешествий и опасных экспедиций в страны Африки, Южной и Северной Америки, что впоследствии нашло отражение в его романах.
Роман «Флибустьеры» приглашает читателя в Мексику в те далёкие времена, когда индейские племена боролись за свою свободу, совершая разрушительные набеги на испанские поселения, и при этом враждовали между собой. На таком взрывоопасном фоне разворачивается драматическая история любви прославленного охотника дона Марсиаля и молодой девушки Аниты де Торрес, дочери богатого и влиятельного человека. Но не только отец Аниты препятствует счастью влюблённых — на их пути встаёт граф Гаэтан де Лорайль, возглавляющий могущественное тайное общество дофиеров, преемников береговых братьев. Героев ждут яростные сражения, погони, похищения, предательство, вызволение из беды и даже поиски сокровищ";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0027682,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0822-4;Фруктовая радость;;;вне серии;Шицкая Н.А.;НИГМА;2020;20;24;NF0017137  ;9785433508224;320;10;Переплет;60 х 90 (1/8);0,36;;0+;"Под жарким летним солнцем поспели фрукты и ягоды. Люди радуются и собирают урожай, чтобы испечь ароматный пирог или сварить душистое варенье. И только кислую дикую ранетку никто не замечает. Разве это справедливо?.. Маленькая ворчунья начинает пугать спелую грушу, чтобы и та стала опасаться людей — не оставаться же ей одной на ветке! И всё-таки груша понимает, что самое ценное — это подарить людям радость…
Книга проиллюстрирована рисунками Дины Леоновой.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0017137,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0849-1;Хозяйка Блосхолма;;;Страна приключений;"Хаггард Г.Р.; Пер. с англ. Г.В. Рубцовой, Н.Я. Рыковой";НИГМА;2021;8;272;NF0018769  ;9785433508491;850;10;Переплет;84 х 108 (1/16);0,93;;12+;"Действие романа талантливого новеллиста Генри Хаггарда переносит читателя в Англию XVI века — время жестокого противостояния церкви и светской власти во главе с королём Генрихом VIII.
Сайсели Фотрел — дочь сэра Джона Фотрела, наследница земель Блосхолма и огромного состояния. Её жизнь легка, а будущее кажется безоблачным. Но блосхолмский аббат Клемент Мэлдон, одержимый жаждой денег и власти, подло убивает отца Сайсели, разлучает её с возлюбленным и заявляет о своих правах на всё состояние Фотрелов. 
Юной Сайсели придётся вступить в борьбу за честь рода. На её защиту встанут многие обитатели Блосхолма, готовые рискнуть свободой и даже жизнью, но не стать кровавым орудием в руках аббата. Герои переживут пожары и осады, столкнутся с предательством, подкупом и интригами, не раз окажутся на волосок от гибели… Но их неизменно будут поддерживать вера в справедливость, надежда на возмездие — и, конечно, любовь…
Книга проиллюстрирована художницей Ксенией Заварзовой.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0018769,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0636-7;Хорошо, когда есть друг!;;1;вне серии;"Хьюбери Дж.; Пер. с англ. Д.А. Налепиной";НИГМА;2021;16;24;NF0019389  ;9785433506367;400;10;Переплет;60 х 90 (1/6);0,39;;0+;"Панда Бамбу с большим удовольствием отправляется в необычное путешествие. Он хочет увидеть чудесный секрет, который находится высоко в горах. Вместе с ним идёт его маленький и непоседливый друг — Обезьянка Джинджер. 
Джинджер постоянно обгоняет и поторапливает Бамбу, называет его копушей, но неожиданно понимает, что Бамбу — его самый верный и надёжный друг.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0019389,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0888-0;Хроника капитана Блада. Из судового журнала Джереми Питта;;;Страна приключений;"Сабатини Р.; Пер. с англ. Т.А. Озерской";НИГМА;2022;8;240;NF0021525  ;9785433508880;1000;10;Переплет;84 х 108 (1/16);0,875;;12+;"«Отец» легендарного капитана Блада, английский и итальянский писатель Рафаэль Сабатини — один из наиболее выдающихся авторов историко-приключенческой литературы. Перед вами второй роман из трилогии о Питере Бладе, продолжающий полную опасных приключений одиссею благородного и отважного доктора-пирата.
«Хроника капитана Блада» — это цикл рассказов, записанных в судовом журнале бессменным шкипером «Арабеллы» Джереми Питтом. Главный герой вступит в продолжительную борьбу с коварным капитаном Истерлингом, отправится на остров Антигуа, где поможет английским поселенцам отбить атаку испанцев, совершит дерзкий налёт на испанскую факторию Санта-Мария и даже спасёт жену французского полковника де Кулевэна, в результате чего едва не попадётся английским властям… Верный долгу чести и данному слову, капитан Блад найдёт выход даже в самой безнадёжной ситуации.
Книга проиллюстрирована оригинальными работами Олега Пахомова.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0021525,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-1093-7;Хрумс;;2;вне серии;Бивол А.Б.;НИГМА;2024;14;24;NF0026734  ;9785433510937;400;10;Переплет;60 х 90 (1/8);0,395;;0+;Каждую зиму жители небольшой деревушки у озера слышат по ночам громкий хруст. Они знают — это чудовище приходит на берег полакомиться льдинами. Все уже привыкли и почти не боятся. Но однажды девочка по имени Росна увидела в окно, как чудовище стянуло с неба звезду и слопало её! А за ней вторую... Росна поняла: чтобы чудовище не таскало звёзды с неба, надо предложить ему что-то повкуснее. Например, фруктовый лёд! Вскоре и все жители деревни, узнав о необычном происшествии, стали по очереди готовить лакомство для чудовища. И вот как-то вечером, после Нового года, Росна не услышала привычного хруста…;http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0026734,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0796-8;Цветные мелки;;;вне серии;Сергеев Л.А.;НИГМА;2020;30;32;NF0016354  ;9785433507968;300;10;Переплет;70 х 100 (1/16);0,25;Сборник;6+;"Егор Смехов — обычный мальчишка. Он хорошо рисует, но совсем не умеет играть в шашки и мечтает стать клоуном. Егор и его друзья учатся находить общий язык и поддерживать друг друга, спорить и мириться, фантазировать и мечтать. Каждый день они узнают что-то новое.
Правда ли, что мальчишка должен быть обязательно боксёром или футболистом? Как съесть целый торт так, чтобы никто не заметил? И сумеют ли нарисованные слоны убежать от охотников?
Полные доброго юмора и теплоты рассказы Леонида Сергеева проиллюстрированы акварельными рисунками Анастасии Светлаковой.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0016354,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0722-7;Цветок с голубой серединкой;;;вне серии;Шицкая Н.А.;НИГМА;2019;20;32;NF0013490 ;9785433507227;300;10;Переплет;60 х 90 (1/8);0,39;;0+;"Лёля, Тошик, Жора и Гриня — озорные разноцветные мелки. Всю зиму они провели в тесной коробке в ожидании весны и вот наконец выбрались на улицу. Теперь-то можно нарисовать что-нибудь красивое! Но у Лёли выходят лишь розовые овалы, у Тошика — голубые палочки, Жора без конца вычерчивает большой жёлтый круг, а Гриня — тонкие зелёные полоски. Скучно! А что если объединить рисунки?..
Книга проиллюстрирована забавными рисунками Марии Пчелинцевой.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0013490,,1,cover_asis,00000000,)&hide_Cookie=yes
